Model,Precision,Recall
KNN,0.2704581980386369,0.8826803682295011
Logistic Regression,0.2674407163239201,0.8728323699421965
Extra Trees,0.2686542687526649,0.8767929779490473
Gradient Boosting Classifier,0.2818393518974056,0.9198244487261829
XGBoost Classifier,0.2801338187543048,0.9142581888246628
Random Forest Classifier,0.2734428810390633,0.8924213230571612
Balanced Random Forest Classifier,0.27865787661123687,0.9094412331406551
LGBMClassifier,0.28233133261176163,0.9214301006208521
