Model,K Sample,Percent of Sample,Precision,Perfect Precision,Recall,Perfect Recall
lgbm,7622,0.1,0.38633084087629543,1.0,0.3152429886533933,0.8159922928709056
lgbm,15244,0.2,0.35224663824204655,0.612791079042309,0.5748233782915864,1.0
lgbm,22866,0.3,0.3201556828617659,0.4085363187125552,0.7836651680582316,1.0
lgbm,30488,0.4,0.2829873068975696,0.30640558890091507,0.9235709698137444,1.0
lgbm,38111,0.5,0.2423646095717884,0.24511964735516373,0.9887604367373154,1.0
